MCS,Energy,Order
00809,-7960.5584,0.4771
00810,-7983.9123,0.4749
00811,-7991.3999,0.4725
00812,-7983.8142,0.4691
00813,-7992.9014,0.4692
00814,-7957.2164,0.4709
00815,-7962.9584,0.4719
00816,-7955.8422,0.4745
00817,-7882.1855,0.4736
00818,-7896.7931,0.4697
00819,-7905.6743,0.4662
00820,-7848.9554,0.4675
00821,-7893.6935,0.4787
00822,-7907.4667,0.4886
00823,-7882.0958,0.4835
00824,-7929.0188,0.4871
00825,-7989.4148,0.4957
00826,-7900.0626,0.4923
00827,-7916.9595,0.5003
00828,-7955.4421,0.5009
00829,-7985.5937,0.5050
00830,-7954.1923,0.5090
00831,-7920.4049,0.5041
00832,-7857.1019,0.5010
00833,-7876.4477,0.5032
00834,-7847.6629,0.4963
00835,-7837.0658,0.5001
00836,-7883.9656,0.5041
00837,-7956.2350,0.4967
00838,-7972.9028,0.4840
00839,-7913.5957,0.4876
00840,-7903.7087,0.4860
00841,-7913.2547,0.4859
00842,-7910.7232,0.4875
00843,-7968.5834,0.4868
00844,-7996.0092,0.4889
00845,-8015.1205,0.4960
00846,-7995.3376,0.4963
00847,-8023.1739,0.4985
00848,-8002.5651,0.4956
00849,-8026.1760,0.5013
00850,-8036.3494,0.4997
00851,-7974.0196,0.4965
00852,-7995.7969,0.5062
00853,-8015.9462,0.5125
00854,-8004.8860,0.5135
00855,-7984.3247,0.5137
00856,-7999.9662,0.5100
00857,-8033.0049,0.5059
00858,-8052.9052,0.5095
00859,-7998.8099,0.5022
00860,-7976.5637,0.5109
00861,-7968.3031,0.5100
00862,-8006.2450,0.5079
00863,-7967.8374,0.5104
00864,-8006.6938,0.5154
00865,-8021.1300,0.5086
00866,-7951.5811,0.4983
00867,-7975.7729,0.4977
00868,-7961.1696,0.4929
00869,-7939.2566,0.4859
00870,-7874.3422,0.4844
00871,-7870.4555,0.4789
00872,-7884.7365,0.4774
00873,-7850.2335,0.4763
00874,-7828.4717,0.4752
00875,-7855.3773,0.4787
00876,-7854.1242,0.4787
00877,-7896.3501,0.4810
00878,-7884.3919,0.4837
00879,-7923.5207,0.4842
00880,-7938.1763,0.4786
00881,-7915.9730,0.4764
00882,-7916.2448,0.4728
00883,-7919.2186,0.4698
00884,-7942.0364,0.4721
00885,-7942.6631,0.4739
00886,-7910.9262,0.4773
00887,-7924.8790,0.4755
00888,-7933.1236,0.4786
00889,-8011.3865,0.4819
00890,-8058.8038,0.4864
00891,-8079.7736,0.4872
00892,-8126.7215,0.4847
00893,-8107.6947,0.4817
00894,-8087.8037,0.4829
00895,-8062.2728,0.4810
00896,-8020.5828,0.4912
00897,-8031.7667,0.4903
00898,-8026.8681,0.4814
00899,-8033.7299,0.4687
00900,-8038.0226,0.4667
00901,-8017.1111,0.4608
00902,-8020.3805,0.4706
00903,-7947.1264,0.4686
00904,-7962.4678,0.4646
00905,-7971.4058,0.4643
00906,-8000.2742,0.4684
00907,-7987.0446,0.4733
00908,-7966.4723,0.4772
00909,-7958.8893,0.4778
00910,-7931.6798,0.4810
00911,-7954.9962,0.4765
00912,-7934.2702,0.4754
00913,-7953.1092,0.4709
00914,-7934.2761,0.4673
00915,-7981.6879,0.4681
00916,-7967.7104,0.4755
00917,-8048.1587,0.4854
00918,-8048.5661,0.4894
00919,-8009.6664,0.4952
00920,-7931.2967,0.4899
00921,-7902.2062,0.4859
00922,-7853.3976,0.4828
00923,-7924.6089,0.4766
00924,-7906.7060,0.4705
00925,-7882.1058,0.4668
00926,-7869.7305,0.4731
00927,-7917.1376,0.4767
00928,-7874.9197,0.4762
